chr14	104774001	107043718
chr8	1	38416000
chr12	62902001	111435000
chr5	150057001	150130000
chr2	203871001	214768000
chr1	36473001	43347000
chr1	16687001	16760000
chr20	1	64444167
chr12	49038001	49051000
chr10	1	43103000
chr8	61814001	116852000
chr10	121484001	133797422
chr12	11863001	11870000
chr16	72797001	72951000
chr7	148820001	152164000
chr1	156869001	161315000
chr16	72961001	81909000
chr17	60624001	63930000
chr2	172573001	191883000
chr6	117417001	137879000
chr1	149841001	156869000
chr2	224205001	241852000
chr17	16166001	31183000
chr3	75091001	119827000
chr16	81909001	81939000
chr2	66822001	86200000
chr7	129127001	140782000
chr17	47797001	57907000
chr7	81744001	106883000
chr1	43347001	46251000
chr17	16047001	16166000
chr17	42290001	42307000
chr1	119929001	121119000
chr1	144678001	149841000
chr17	39711001	40352000
chr12	31798001	49023000
chr7	152249001	159345973
chr11	108308001	118482000
chr3	135242001	142460000
chr12	111435001	113769000
chr15	66482001	82700000
chr15	21507001	34348000
chr13	40561001	72761000
chr16	3881001	13921000
chr9	5468001	10095000
chr8	116852001	144512000
chr11	102326001	108308000
chr1	121119001	144678000
chr10	46636001	68574000
chr14	35404001	65077000
chr15	41697001	41743000
chr4	1	32011000
chr2	98544001	113221000
chr16	30117001	56822000
chr7	5978001	13987000
chr4	186589001	186622000
chr2	241852001	242193529
chr17	35491001	39711000
chr6	160219001	170805979
chr18	1	80373285
chr7	140782001	140794000
chr12	113769001	120998000
chr13	1	28015000
chr11	69778001	86257000
chr11	118482001	118512000
chr6	43772001	89085000
chr7	106883001	129127000
chr4	32011001	54278000
chr9	137041001	138394717
chr10	43115001	46636000
chr10	109681001	113161000
chr3	195669001	198295559
chr12	49023001	49038000
chr9	84956001	95447000
chr19	1	58617616
chr7	41703001	55172000
chr2	47800001	66822000
chr11	125645001	135086622
chr6	137879001	152099000
chr16	89285001	89759000
chr2	40062001	47800000
chr16	68834001	72794000
chr11	86257001	101128000
chr17	42325001	43077000
chr22	1	50818468
chr16	67030001	68834000
chr3	49896001	49903000
chr15	90103001	98916000
chr3	30673001	41237000
chr21	1	46709983
chr15	41743001	41765000
chr2	136116001	172573000
chr16	2087001	2562000
chr11	118512001	125645000
chr13	28015001	28390000
chr1	22907001	26767000
chr1	36359001	36473000
chr16	56822001	67030000
chr3	142460001	156113000
chr11	17721001	63244000
chr15	41765001	66482000
chr3	186787001	195669000
chr2	1	25247000
chr3	156113001	182948000
chr6	32223001	43772000
chrY	1	57227415
chr2	25247001	26793000
chr6	29927001	30705000
chr15	1	21507000
chr3	182948001	186787000
chr6	93415001	111701000
chr1	8025001	11123000
chr16	72951001	72961000
chr17	31183001	31357000
chr16	89282001	89285000
chr16	89759001	90338345
chr1	11241001	15931000
chr2	86200001	98544000
chr12	11870001	18283000
chr3	52565001	69965000
chr14	65077001	89524000
chr1	175990001	204550000
chr6	117329001	117417000
chr6	111701001	117323000
chr3	49687001	49896000
chr6	152099001	160219000
chr1	46251001	64840000
chr10	43103001	43115000
chr13	28390001	32338000
chr5	1280001	33997000
chr17	31357001	35491000
chr1	16647001	16649000
chr9	132906001	136506000
chr16	2061001	2087000
chr9	130836001	132906000
chr12	132658001	133275309
chr1	161315001	175990000
chr17	8074001	16047000
chr9	136506001	136670000
chr5	181100001	181538259
chr7	13987001	41703000
chr6	27811001	29927000
chr6	26021001	26198000
chr16	3729001	3881000
chr16	2562001	3729000
chr2	26793001	29225000
chr6	89085001	93415000
chr6	32196001	32223000
chr5	180612001	181100000
chr3	47123001	49687000
chr12	57094001	57468000
chr5	177211001	180612000
chr3	1	30673000
chr13	32338001	32355000
chr2	113221001	127281000
chr13	102873001	114364328
chr9	1	5468000
chr8	38416001	61814000
chr12	49051001	56087000
chr13	32355001	40561000
chr5	150130001	171406000
chr1	26767001	36359000
chr7	55172001	67300000
chr11	63244001	67429000
chr12	1	928000
chr1	204550001	223950000
chr2	191883001	203871000
chr17	1	8074000
chr4	65496001	105236000
chr5	171406001	177211000
chr17	42218001	42290000
chr17	63930001	72123000
chr6	26198001	27811000
chr10	113161001	121484000
chr7	140794001	148820000
chr5	68120001	112371000
chr5	1	1280000
chr6	1	26021000
chr12	928001	11857000
chr11	101128001	102326000
chr15	82700001	90103000
chr7	67300001	81744000
chr17	43077001	45268000
chr11	67429001	69778000
chr13	72761001	102873000
chr5	33997001	41151000
chr5	112371001	112893000
chr1	223950001	228426000
chr4	186622001	190214555
chr1	16760001	22907000
chr3	119827001	135242000
chr3	69965001	75091000
chr9	136670001	137041000
chr10	86920001	109681000
chr17	80886001	83257441
chr1	11123001	11241000
chr9	37021001	84956000
chr1	64840001	72283000
chr16	1	2061000
chr16	13921001	30117000
chrX	1	156040895
chr1	15931001	16647000
chr11	1	17721000
chr7	152164001	152249000
chr1	16649001	16687000
chr12	57468001	62902000
chr2	29225001	40062000
chr12	18283001	31798000
chr16	81939001	89282000
chr14	89524001	104774000
chr17	57907001	60624000
chr1	228426001	248956422
chr2	214768001	224205000
chr17	45268001	47797000
chr2	127281001	136116000
chr10	68574001	86920000
chr9	95447001	107485000
chr5	112893001	150057000
chr12	11857001	11863000
chr6	30705001	32196000
chr4	105236001	142146000
chr17	72123001	80886000
chr17	40352001	42218000
chr4	55090001	65496000
chr9	10095001	37021000
chr5	41151001	68120000
chr14	1	35404000
chr6	117323001	117329000
chr4	54278001	55090000
chr8	144512001	145138636
chr1	72283001	114714000
chr9	107485001	130836000
chr17	42307001	42325000
chr12	120998001	132658000
chr3	41237001	47123000
chr16	72794001	72797000
chr12	56087001	57094000
chr1	114714001	119929000
chr4	142146001	186589000
chr3	49903001	52565000
chr15	34348001	41697000
chr7	1	5978000
chr15	98916001	101991189
chr1	1	8025000
