chr14	104774001	107043718
chr16	2086001	3728000
chr14	1	65007000
chr13	28390001	32345000
chr3	138735001	179219000
chr20	1	64444167
chr5	1	33725000
chr16	56799001	68816000
chr4	54278001	65491000
chr7	55171001	81744000
chr5	177098001	180630000
chr3	41236001	49686000
chr3	59982001	96415000
chr10	103890001	121483000
chr15	34347001	41740000
chr13	1	28390000
chr3	179219001	189739000
chr10	68574001	103890000
chr16	89785001	90338345
chr17	42324001	45267000
chr17	80824001	83257441
chr3	1	41236000
chr7	129127001	140794000
chr6	117353001	149662000
chr9	1	8822000
chr2	157767001	197424000
chr3	96415001	138735000
chr2	96263001	114165000
chr16	3728001	11258000
chr18	1	80373285
chr5	67254001	112892000
chr15	1	34347000
chr4	186621001	190214555
chr19	1	58617616
chr1	71777001	119923000
chr12	99346001	120098000
chr3	49899001	59982000
chr6	162263001	170805979
chr7	1	13940000
chr22	1	50818468
chr17	35120001	40343000
chr6	26197001	29828000
chr21	1	46709983
chr11	108285001	118506000
chr1	11122001	15931000
chr1	1	11122000
chr17	49619001	61809000
chr3	189739001	198295559
chr10	1	43115000
chr9	8822001	84949000
chr5	33725001	67254000
chr16	72797001	72960000
chrY	1	57227415
chr11	101126001	108285000
chr16	1	2086000
chr9	136669001	138394717
chr1	119923001	144291000
chr15	41740001	62763000
chr6	30716001	37173000
chr7	81744001	129127000
chr1	36472001	46063000
chr11	1	62331000
chr1	155905001	162777000
chr7	13940001	55171000
chr2	197424001	219573000
chr6	1	26197000
chr1	206497001	241514000
chr14	65007001	104774000
chr12	11868001	26008000
chr1	16760001	26767000
chr12	57465001	99346000
chr17	31182001	35120000
chr12	1	11857000
chr2	26787001	29695000
chr12	120098001	132673000
chr6	93270001	117319000
chr16	89284001	89785000
chr15	90085001	101991189
chr10	121483001	133797422
chr16	72960001	81938000
chr7	152164001	159345973
chr2	29695001	61489000
chr12	49033001	50097000
chr5	180630001	181538259
chr6	149662001	162263000
chr17	61809001	80824000
chr1	15931001	16649000
chr9	84949001	105586000
chr12	132673001	133275309
chr4	1	54278000
chr17	1	16040000
chr2	1	26787000
chr6	29828001	30716000
chr2	219573001	242193529
chr5	150120001	177098000
chr1	162777001	206497000
chr9	105586001	132906000
chr8	61203001	144512000
chr13	32345001	51783000
chr17	40343001	42290000
chr1	241514001	248956422
chr4	65491001	142087000
chr3	49686001	49899000
chr12	26008001	49033000
chr1	26767001	36472000
chr12	50097001	57465000
chrX	1	156040895
chr15	62763001	90085000
chr16	81938001	89284000
chr2	61489001	96263000
chr10	43115001	68574000
chr13	51783001	114364328
chr11	69775001	101126000
chr11	118506001	135086622
chr6	117319001	117353000
chr6	37173001	93270000
chr9	132906001	136669000
chr2	114165001	157767000
chr1	16649001	16760000
chr1	144291001	155905000
chr11	62331001	69775000
chr17	16040001	31182000
chr8	1	61203000
chr17	42290001	42324000
chr5	112892001	150120000
chr17	45267001	49619000
chr8	144512001	145138636
chr16	68816001	72797000
chr7	140794001	152164000
chr1	46063001	71777000
chr16	11258001	56799000
chr12	11857001	11868000
chr4	142087001	186621000
